Links,subdir1,subdir2,subdir3,subdir4,subdir5,subdir6,subdir7,subdir8,subdir9,subdir10,subdir11
https://www.datacamp.com/courses/introduction-to-deep-learning-with-keras,courses,introduction-to-deep-learning-with-keras,,,,,,,,,
https://www.datacamp.com/courses/feature-engineering-for-nlp-in-python,courses,feature-engineering-for-nlp-in-python,,,,,,,,,
https://www.datacamp.com/courses/experimental-design-in-python,courses,experimental-design-in-python,,,,,,,,,
https://www.datacamp.com/courses/ensemble-methods-in-python,courses,ensemble-methods-in-python,,,,,,,,,
https://www.datacamp.com/courses/cleaning-data-with-pyspark,courses,cleaning-data-with-pyspark,,,,,,,,,
https://www.datacamp.com/courses/improving-query-performance-in-postgresql,courses,improving-query-performance-in-postgresql,,,,,,,,,
https://www.datacamp.com/courses/practicing-statistics-interview-questions-in-python,courses,practicing-statistics-interview-questions-in-python,,,,,,,,,
https://www.datacamp.com/courses/analyzing-iot-data-in-python,courses,analyzing-iot-data-in-python,,,,,,,,,
https://www.datacamp.com/courses/error-and-uncertainty-in-spreadsheets,courses,error-and-uncertainty-in-spreadsheets,,,,,,,,,
https://www.datacamp.com/courses/arima-models-in-python,courses,arima-models-in-python,,,,,,,,,
https://www.datacamp.com/courses/image-processing-in-python,courses,image-processing-in-python,,,,,,,,,
https://www.datacamp.com/courses/hierarchical-and-recursive-queries-in-sql-server,courses,hierarchical-and-recursive-queries-in-sql-server,,,,,,,,,
https://www.datacamp.com/courses/reporting-with-rmarkdown,courses,reporting-with-rmarkdown,,,,,,,,,
https://www.datacamp.com/courses/functions-for-manipulating-data-in-postgresql,courses,functions-for-manipulating-data-in-postgresql,,,,,,,,,
https://www.datacamp.com/courses/ai-ethics,courses,ai-ethics,,,,,,,,,
https://www.datacamp.com/courses/dealing-with-missing-data-in-python,courses,dealing-with-missing-data-in-python,,,,,,,,,
https://www.datacamp.com/courses/time-series-analysis-in-sql-server,courses,time-series-analysis-in-sql-server,,,,,,,,,
https://www.datacamp.com/courses/machine-learning-for-marketing-in-python,courses,machine-learning-for-marketing-in-python,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-tensorflow-in-python,courses,introduction-to-tensorflow-in-python,,,,,,,,,
https://www.datacamp.com/courses/model-validation-in-python,courses,model-validation-in-python,,,,,,,,,
https://www.datacamp.com/courses/conditional-formatting-in-spreadsheets,courses,conditional-formatting-in-spreadsheets,,,,,,,,,
https://www.datacamp.com/courses/hyperparameter-tuning-in-python,courses,hyperparameter-tuning-in-python,,,,,,,,,
https://www.datacamp.com/courses/machine-learning-with-pyspark,courses,machine-learning-with-pyspark,,,,,,,,,
https://www.datacamp.com/courses/financial-modeling-in-spreadsheets,courses,financial-modeling-in-spreadsheets,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-spark-sql-in-python,courses,introduction-to-spark-sql-in-python,,,,,,,,,
https://www.datacamp.com/courses/fraud-detection-in-python,courses,fraud-detection-in-python,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-data-pipelines,courses,introduction-to-data-pipelines,,,,,,,,,
https://www.datacamp.com/courses/discrete-event-simulation-in-python,courses,discrete-event-simulation-in-python,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-predictive-analytics-in-python,courses,introduction-to-predictive-analytics-in-python,,,,,,,,,
https://www.datacamp.com/courses/image-processing-with-keras-in-python,courses,image-processing-with-keras-in-python,,,,,,,,,
